DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2024-07-24,-0.02298847988019226,5472.0,5599.25,29.272758825108344,10.0,0.0,0.006382339085466369,0.006382339085466369,4.073425220187169e-05,-0.010346502504756072,-0.013748447951966239,5541.616015077728,5522.79577057851,1
2024-07-25,-0.005635366435880584,5441.25,5472.0,17.065885742715412,10.0,0.0,0.01300899822755161,0.01300899822755161,0.00016923403488444094,-0.021089075798594106,-0.02802319535889172,5357.808901761051,5320.785724170597,0
2024-07-26,0.010557443641307174,5499.0,5441.25,17.857015976410082,10.0,0.0,0.00899305860153428,0.00899305860153428,8.087510301062972e-05,-0.014578777796070903,-0.01937230166816524,5362.49866921087,5336.854914903376,0
2024-07-29,0.0007271405519446716,5503.0,5499.0,20.602263630156685,10.0,0.0,0.007116006908037148,0.007116006908037148,5.063755431523242e-05,-0.011535862058085542,-0.015328870699421954,5435.928784401878,5415.349313277774,0
2024-07-30,-0.0055578476627413664,5472.5,5503.0,19.03229878057289,10.0,0.0,0.011679462647005272,0.011679462647005272,0.0001364098477227914,-0.0189337463762496,-0.02515919040950679,5399.78777407864,5366.276118200549,0
2024-07-31,0.015502780905432445,5558.0,5472.5,17.91500867306141,10.0,0.0,0.012004143478259687,0.012004143478259687,0.00014409946064664457,-0.019460091183198164,-0.025858598173608107,5367.034166629283,5332.802792627758,0
2024-08-01,-0.014087610963013475,5480.25,5558.0,19.92557514930156,10.0,0.0,0.015954557707460633,0.015954557707460633,0.00025454791164069147,-0.02586416501411167,-0.034368341026750064,5416.090072599745,5370.225983874742,0
2024-08-02,-0.019206117136450374,5376.0,5480.25,23.1755566445778,10.0,0.0,0.015244358466380743,0.015244358466380743,0.00023239046505151421,-0.024712850718786667,-0.032838472874845176,5346.477162067366,5303.209734230926,0
2024-08-05,-0.02992624325163007,5217.5,5376.0,18.637621877387293,10.0,0.0,0.028786263905287386,0.028786263905287386,0.0008286489896248514,-0.04666583013065683,-0.062009624642888846,5130.888151218989,5052.761768127244,0
2024-08-06,0.00930017434187036,5266.25,5217.5,9.480569285866505,9.480569285866505,0.0,0.017143100392669308,0.017143100392669308,0.0002938858910731386,-0.02775418646790321,-0.037015395169429914,5074.683576375167,5027.902830171901,0
2024-08-07,-0.007385381990436812,5227.5,5266.25,9.803929746491734,9.803929746491734,0.0,0.02456765979754289,0.02456765979754289,0.0006035699079278052,-0.03980807580171313,-0.05296759474935123,5060.728567009145,4994.568088343317,0
2024-08-08,0.022836252273734203,5348.25,5227.5,9.63711854562144,9.63711854562144,0.0,0.015112572938043028,0.015112572938043028,0.0002283898608076705,-0.024477125882896127,-0.03260718254200123,5101.099100624659,5059.795005737685,0
2024-08-09,0.0041050577775632036,5370.25,5348.25,13.464747020202507,10.0,0.0,0.00839105924971683,0.00839105924971683,7.040987533225837e-05,-0.013602867911304,-0.018075511158487257,5275.991040452206,5252.446108044841,0
2024-08-12,-9.31098697147803e-05,5369.75,5370.25,12.512970470800052,10.0,0.0,0.006553109802839902,0.006553109802839902,4.294324808807642e-05,-0.010623341392722354,-0.014116311878982645,5313.501961471522,5294.97443283439,0
2024-08-13,0.016484270297386416,5459.0,5369.75,8.500044824431967,8.500044824431967,0.0,0.004742398931669779,0.004742398931669779,2.2490347627102658e-05,-0.007653347712033503,-0.010292771541213584,5328.810298839804,5314.763855369284,0
2024-08-14,0.0032918830019639245,5477.0,5459.0,14.190008923995988,10.0,0.0,0.005912513256230958,0.005912513256230958,3.4957813005106804e-05,-0.009584861035400002,-0.012736377632098483,5406.926202330675,5389.913007431283,0
2024-08-15,0.016388614347800257,5567.5,5477.0,13.593832961989728,10.0,0.0,0.006525999739532454,0.006525999739532454,4.2588672600377655e-05,-0.010579392875703988,-0.014057913024054096,5419.362089853398,5400.54347906662,0
2024-08-16,0.0019289869830902973,5578.25,5567.5,13.758832794301544,10.0,0.0,0.006917893845574149,0.006917893845574149,4.785725525863269e-05,-0.011214698097733454,-0.01490210755014341,5505.410973922731,5485.147652000491,0
2024-08-19,0.009234335019122852,5630.0,5578.25,12.702627503320471,10.0,0.0,0.006446178978542556,0.006446178978542556,4.155322342340396e-05,-0.010449994281794406,-0.013885967979571121,5520.260840303096,5501.325917827416,0
